antecedents,consequents,support,confidence,lift
"MED_metformin, MED_aspirin","COND_diabetes, MED_atorvastatin",0.029611130931145202,0.6887966804979253,19.80202149164805
"COND_diabetes, MED_atorvastatin","MED_metformin, MED_aspirin",0.029611130931145202,0.8512820512820513,19.802021491648045
"COND_diabetes, MED_aspirin","MED_metformin, MED_atorvastatin",0.029611130931145202,0.8877005347593583,19.439254679144387
"MED_metformin, MED_atorvastatin","COND_diabetes, MED_aspirin",0.029611130931145202,0.6484375,19.439254679144383
"MED_aspirin, MED_lisinopril","MED_atorvastatin, COND_hypertension",0.03621120228326793,0.7463235294117647,18.43123218450376
"MED_atorvastatin, COND_hypertension","MED_aspirin, MED_lisinopril",0.03621120228326793,0.894273127753304,18.43123218450376
"MED_atorvastatin, MED_lisinopril","MED_aspirin, COND_hypertension",0.03621120228326793,0.7097902097902098,18.169332950154867
"MED_aspirin, COND_hypertension","MED_atorvastatin, MED_lisinopril",0.03621120228326793,0.9269406392694064,18.169332950154867
"MED_metformin, MED_aspirin, MED_atorvastatin",COND_diabetes,0.029611130931145202,0.8300000000000001,6.792671532846716
"MED_aspirin, MED_atorvastatin, MED_lisinopril",COND_hypertension,0.03621120228326793,0.8423236514522822,6.745809128630706
"MED_aspirin, MED_lisinopril",COND_hypertension,0.03906528719229397,0.8051470588235294,6.448077731092437
"MED_atorvastatin, MED_lisinopril",COND_hypertension,0.04049232964680699,0.7937062937062936,6.356453546453546
"MED_metformin, MED_aspirin",COND_diabetes,0.033357117374241886,0.7759336099585062,6.3501953539085925
"MED_metformin, MED_atorvastatin",COND_diabetes,0.03478415982875491,0.76171875,6.233861770072993
"COND_copd, MED_aspirin","MED_albuterol, MED_atorvastatin",0.035497681056011414,0.9128440366972477,5.762841970410777
"MED_albuterol, MED_lisinopril",COND_hypertension,0.05422761327149483,0.7186761229314421,5.755569064505235
COND_hypertension,"MED_albuterol, MED_lisinopril",0.05422761327149483,0.4342857142857143,5.755569064505235
"COND_asthma, MED_atorvastatin","MED_albuterol, MED_aspirin",0.039600428112736355,0.8774703557312253,5.713239040916666
"MED_metformin, MED_albuterol",COND_diabetes,0.05529789511237959,0.6888888888888888,5.637826439578264
COND_diabetes,"MED_metformin, MED_albuterol",0.05529789511237959,0.45255474452554745,5.637826439578264
"COND_asthma, MED_aspirin","MED_albuterol, MED_atorvastatin",0.039600428112736355,0.8671875,5.474609375
"COND_copd, MED_atorvastatin","MED_albuterol, MED_aspirin",0.035497681056011414,0.8361344537815125,5.444099591055934
MED_metformin,COND_diabetes,0.12219051016767749,0.6462264150943396,5.288679245283019
"COND_diabetes, MED_albuterol",MED_metformin,0.05529789511237959,1.0,5.288679245283019
"COND_diabetes, MED_aspirin",MED_metformin,0.033357117374241886,1.0,5.288679245283019
"COND_diabetes, MED_aspirin, MED_atorvastatin",MED_metformin,0.029611130931145202,1.0,5.288679245283019
"COND_obesity, COND_diabetes",MED_metformin,0.028719229397074563,1.0,5.288679245283019
"COND_diabetes, MED_atorvastatin",MED_metformin,0.03478415982875491,1.0,5.288679245283019
COND_diabetes,MED_metformin,0.12219051016767749,1.0,5.288679245283019
"MED_aspirin, COND_hypertension",MED_lisinopril,0.03906528719229397,1.0,5.273753527751647
